filename,method,trainable_params,total_params,train_loss,eval_loss,train_runtime
e2e_gpt2small_lora_r4_4953540.out,lora_r4,,,,,
e2e_gpt2medium_lora_r8_4954162.out,lora_r8,2162688,356985856,0.627920417887215,0.8270450830459595,7846.1004
e2e_gpt2medium_lora_r16_4954164.out,lora_r16,4325376,359148544,0.6258052991705279,0.8259567022323608,6736.5174
e2e_gpt2medium_full_4954159.out,full,354823168,354823168,0.5205952643259889,0.9754710793495178,7759.1829
e2e_gpt2medium_bitfit_4954158.out,bitfit,271360,354823168,0.7865840759146753,0.7386417984962463,5484.0391
e2e_gpt2medium_lora_r4_4954161.out,lora_r4,1081344,355904512,0.6342665338207897,0.8215081691741943,6937.2816
e2e_gpt2medium_lora_r1_4954160.out,lora_r1,270336,355093504,0.668570317710566,0.7809009552001953,6968.3582
e2e_gpt2small_lora_r1_4954167.out,lora_r1,101376,124541184,0.7997653264698306,0.7644485235214233,2468.8912
e2e_gpt2medium_bitfit_4954156.out,bitfit,271360,354823168,0.7865840759146753,0.7386417984962463,5707.6087
e2e_gpt2small_bitfit_4954165.out,bitfit,102144,124439808,0.9768610979314538,0.8132203817367554,2027.8989
e2e_gpt2small_full_4954166.out,full,124439808,124439808,0.5536083262789245,0.8628350496292114,2728.9008
e2e_gpt2small_lora_r16_4954170.out,lora_r16,1622016,126061824,0.7116314663457163,0.7636253833770752,2361.8656
e2e_gpt2small_lora_r4_4954168.out,lora_r4,405504,124845312,0.7289768393114975,0.7723650932312012,2319.8314
e2e_gpt2small_lora_r8_4954169.out,lora_r8,811008,125250816,0.7156140483799612,0.7505795359611511,2325.4839
